"region","city","ts_type","post_type","steal_date","ts_brand","ts_model","reg_id","ts_year_prod","engine_id","body_id","frame_id","vin","colour","steal_place"
"Латвия","Рига","Автомобиль","угнали","17.11.2008","Honda","CRV","GS4799","2007"," "," "," "," ","другие цвета","lacplesa riga"
"Смоленская обл.","Смоленск","Автомобиль","угнали","18.11.2008","ВАЗ","21113","Х502ВТ67","2004"," "," "," "," ","другие цвета","ул. Нарвская"
"Челябинская обл.","Челябинск","Автомобиль","угнали","19.11.2008","ВАЗ","21123","В503А0","2007"," "," "," "," ","другие цвета","ЧЕЛЯБИНСК КОМСОМОЛЬСКИЙ ПРОСПЕКТ"
"Москва и Московская обл.","Москва","Автомобиль","угнали","19.11.2008","Toyota","Camry","в702ну11","2008","HO15097","XW7BE40K50S001757"," ","XW7BE40K50S001757","другие цвета","Москва, ул. Яблочкова, 43В"
"Приморский край","Владивосток","Автомобиль","угнали","18.11.2008","Mitsubishi","Паджеро","Т907КН","1998"," "," "," "," ","другие цвета","Владивосток, ул. Калинина"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.11.2008","Chevrolet","Lanjs","К380НА 199","2007"," "," "," "," ","другие цвета"," "
"Ставропольский край","Невинномысск","Автомобиль","угнали","08.11.2008","ВАЗ","2114","К931","0"," "," "," "," ","другие цвета","Со двора"
"Москва и Московская обл.","Москва","Автомобиль","угнали","17.11.2008","Lexus","RX300"," ","2001"," "," "," "," ","другие цвета","дача. между деревьнями Поливаново и Власьево"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","08.11.2008","Lexus","RX400h","GP4888","2007"," "," "," "," ","другие цвета","Cанкт-Петербург. Фонтанка 3(цирк)"
"Приморский край","Владивосток","Автомобиль","угнали","10.07.2008","Nissan","Сафари","у 215 те","1991"," "," "," "," ","другие цвета","Владивосток Кирова 64"
"Москва и Московская обл.","Москва","Автомобиль","угнали","14.11.2008","Nissan","MICRA","M965EO177","2005"," "," "," "," ","другие цвета","г. Москва, пересечение ул. Летниковской и Жуков пр."
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","21.11.2008","Rover","75","Р932РТ98","2003"," "," "," "," ","другие цвета","Ленинский пр.149"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","19.11.2008","Hyundai","Матрикс","р490ом 98","2008","g4ed 8t030218","nlhpm81cp8z030008"," ","nlhpm81cp8z030008","другие цвета","ул. Маршала Захарова д. 60 двор"
"Москва и Московская обл.","Москва","Автомобиль","угнали","05.10.2008","BMW","7ка Е32","Т756ЕК77","1991"," "," "," "," ","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","18.11.2008","ВАЗ","2113","т215ек 150","2007"," "," "," "," ","другие цвета","Люберцы"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","19.11.2008","Mitsubishi","lancer","c075ce","2007"," "," "," "," ","другие цвета","ул. Подвойского, д.34, кор.1"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","19.11.2008","ВАЗ","11183","с145ум98","2007","1876830","0107202"," ","XTA11183070107202","другие цвета","ул. Будапештская д23 корп.4"
"Москва и Московская обл.","Москва","Автомобиль","угнали","29.10.2008","Mazda","6","А546КХ177","2006"," "," "," "," ","другие цвета","Люблино, ул.Головачева"
"Новосибирская обл.","Новосибирск","Автомобиль","угнали","21.11.2008","Subaru","Forester","c356co54","2004"," ","sg5-065011"," "," ","другие цвета","Новосибирск, Академгородок"
"Москва и Московская обл.","Москва","Автомобиль","угнали","19.11.2008","Kia","РИО","а778нм29","2001"," "," "," "," ","другие цвета","Люберцы"
"Красноярский край","Красноярск","Автомобиль","угнали","03.07.2008","Toyota","Harrier","-","2001"," "," "," "," ","другие цвета","город Железногорск, Красноярского края, пр.Курчатова."
"Башкортостан(Башкирия)","Кумертау","Автомобиль","угнали","22.11.2008","ВАЗ","21063","р457уо 02","1988","0514908","2100363"," ","ХТА210630К2100363","другие цвета","Г.Кумертау, ул.Машиностроителей д.12А - двор"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","28.10.2008","Chrysler","voyager","т224хо","2003"," "," "," "," ","другие цвета","Тихорецкий пр."
"Москва и Московская обл.","Москва","Автомобиль","угнали","19.11.2008","Toyota","land cruiser 200"," ","2008"," "," "," ","jtmht05j205027425","другие цвета","фили давыдково"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.02.2008","Volkswagen","пассат","т757км150","2001","047300","211440"," ","WVWPD63B21P211440","другие цвета","пВоскресенское Ленинского р-на М.О"
"Москва и Московская обл.","Москва","Автомобиль","угнали","20.11.2008","Lexus","RX400h","а525ун199","2008"," "," "," ","jt6hf10u9x0063599","другие цвета","ул. Радио"
"Иркутская обл.","Ангарск","Автомобиль","угнали","01.01.2008","Volkswagen","passat"," ","2001","056622","p077796"," "," ","другие цвета","ангарск"
"Москва и Московская обл.","Москва","Автомобиль","угнали","24.11.2008","Mazda","RX-8","В484УР177","2004"," "," "," "," ","другие цвета","Москва, Ярославское шоссе, 120, к.3"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","20.11.2008","Mercedes","sprinter","т441рр","1996"," ","борт-тент"," "," ","другие цвета","купчино"
"Москва и Московская обл.","Москва","Автомобиль","угнали","24.11.2008","Mazda","3","а177кх199","2008"," "," "," "," ","другие цвета","текстильщики"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","08.11.2008","Ford","Transit","C 783 MB","1989"," "," "," "," ","другие цвета","Московское шоссе 13"
"Приморский край","Владивосток","Автомобиль","угнали","23.11.2008","Nissan","Terrano","х699ск25ru","1993","TD27T","LBYD21"," "," ","другие цвета","Береговая, 8"
"Москва и Московская обл.","Москва","Автомобиль","угнали","23.11.2008","Toyota","corolla","т391нм177","2006","2649335","JTDKZ20E100153704"," ","JTDKZ20E100153704","другие цвета","Москва, ул. Приорова д.30 кв.90"
"Москва и Московская обл.","Москва","Автомобиль","угнали","20.11.2008","Hyundai","Accent","Е954 НС177","2006"," "," "," "," ","другие цвета","Москва"
"Приморский край","Уссурийск","Автомобиль","угнали","14.11.2008","Honda","FIT","K341УВ","2002"," "," "," "," ","другие цвета","возле бойлерной на Дзержинского"
"Москва и Московская обл.","Москва","Автомобиль","угнали","25.11.2008","Volkswagen","ПАССАТ Б5+","Н782ТН 177","2005","165643","wvwzzz3bz5e101699"," ","wvwzzz3bz5e101699","другие цвета","район гребного канала"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","20.11.2008","Opel","meriva","С539СН98","2007"," "," "," "," ","другие цвета","ул.Кораблестроителей д.36"
"Псковская обл.","Псков","Автомобиль","угнали","26.11.2008","Dodge","STRATUS","С291ВУ","2001","-","1B3EJ46X01N6904"," ","1B3EJ46X01N690479","другие цвета","УЛ. Юбилейная"
"Москва и Московская обл.","Москва","Автомобиль","угнали","09.08.2008","ВАЗ"," ","К109ОР68","2000"," "," "," "," ","другие цвета","ул.Мытная 48"
"Москва и Московская обл.","Москва","Автомобиль","угнали","26.11.2008","Suzuki","Grand Vitara New","у414во199","2007"," "," "," "," ","другие цвета"," "
"Новосибирская обл.","Новосибирск","Автомобиль","угнали","26.11.2008","Toyota","Харриер","Т 004 ЕС","2003","1MZ1553660","MCU300001509"," "," ","другие цвета","Новосибирск ШЛЮЗ, Русская №9"
"Москва и Московская обл.","Москва","Автомобиль","угнали","23.08.2008","Audi","Олроуд","К313ОО177","2001"," "," "," "," ","другие цвета","Крылатское"
"Москва и Московская обл.","Москва","Автомобиль","угнали","26.11.2008","BMW","320i","Х592СВ","2003"," ","купе"," "," ","другие цвета","улица Кунцевская, дом 2/7"
"Ставропольский край","Невинномысск","Автомобиль","угнали","08.11.2008","ВАЗ","21114","К931","2008"," "," "," "," ","другие цвета","Со двора"
"Красноярский край","Красноярск","Автомобиль","угнали","22.11.2008","Toyota","Allex","У892УО","2001","1NZ A275053","NZE121-5005131"," "," ","другие цвета","ул.Киренского 122"
"Приморский край","Владивосток","Автомобиль","угнали","28.11.2008","Mazda","TRIBUTE","Б/Н","2001","YF-209288","EPEW-106515"," "," ","другие цвета","Шилкенская"
"Москва и Московская обл.","Москва","Автомобиль","угнали","05.10.2008","ВАЗ","2111","а147ет199","2003"," "," "," "," ","другие цвета","Москва"
"Москва и Московская обл.","Москва","Автомобиль","угнали","28.11.2008","Suzuki","Grand Vitara","Н663РУ150","2002"," "," "," "," ","другие цвета","Мос. Область, мытищинский район"
"Москва и Московская обл.","Москва","Автомобиль","угнали","22.08.2008","Volkswagen","пассат в5+","н033рн 71","2002"," "," "," "," ","другие цвета","Севастопольский пр-т д.44/3"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","25.11.2008","Mazda","3","т838ео98","2008"," "," "," "," ","другие цвета","Невский район"
"Калужская обл.","Обнинск","Автомобиль","угнали","14.11.2008","Toyota","COROLLA","в082ум40","2005"," "," "," "," ","другие цвета","Заводская 3"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","26.11.2008","Mazda","3","С017МК47","2007","Z6 567347","1622147"," ","JMZBK14Z281622147","другие цвета","Ленинградская область, Ломоносовский район,д.Лаголово,ул.Садовая,д.2"
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.11.2008","Mercedes","С200 W203","О243BK","2000","11195532013893","036309"," ","WDB2030451A036309","другие цвета","Улица Дружба,дом 2/19"
"Москва и Московская обл.","Москва","Автомобиль","угнали","29.11.2008","Mitsubishi","лансер","с923ук","2008"," "," "," "," ","другие цвета"," "
"Алма-Атинская обл.","Алматы","Автомобиль","найден","25.10.2008","Audi","не известно","A 054 EZN","0","не известно","не известно"," ","не известно","другие цвета","не известно"
"Татарстан","Набережные Челны","Автомобиль","угнали","23.11.2008","ВАЗ","2114","А440ВК 116","2006"," "," "," "," ","другие цвета","39/02А"
"Свердловская обл.","Екатеринбург","Автомобиль","угнали","03.10.2006","ВАЗ","21053","а137ее/96","2006"," "," "," "," ","другие цвета","пр.Космонавтов, Радиостанция"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","18.09.2008","Audi","А6","Н219ОС98","1999"," "," "," "," ","другие цвета","гПушкин,Саперная ул"
"Москва и Московская обл.","Москва","Автомобиль","угнали","29.11.2008","Honda","C-RV","р674км177","2006"," "," "," "," ","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.11.2008","Nissan","Micra","О823ТХ90","2004"," "," "," ","SJNBEAK12U1363690","другие цвета","Москва, Озерковская наб."
"Новосибирская обл.","Завьялово","Автомобиль","угнали","29.11.2008","ВАЗ","21124","Н376ВН18","2006","1569253","60402178"," ","XTA21124060402178","другие цвета","от жилого дома"
"Самарская обл.","Самара","Автомобиль","угнали","26.11.2008","ВАЗ","21104","К258РУ63","2007"," "," "," "," ","другие цвета"," "
"Тверская обл.","Тверь","Автомобиль","угнали","30.11.2008","ВАЗ","21099","К740ЕМ69","1993"," "," "," "," ","другие цвета","б-р Гусева"
"Москва и Московская обл.","Москва","Автомобиль","угнали","01.12.2008","Lexus","GS 300","н774тк150","0"," "," "," "," ","другие цвета","Ул. Вавилова 73"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","29.11.2008","Volkswagen","passat","x741ee51ru","1998","AHH006202 ТРБОДИЗЕЛЬ","WVWZZZ3BZXE174882"," ","WVWZZZ3BZXE174882","другие цвета","АВТОРЫНОК АВТОВО В 11ЧАС."
"Смоленская обл.","Рославль","Автомобиль","угнали","04.07.2008","УАЗ","hunter","У812КЕ67","2007","40900V*73178183","31519570025208"," ","XTT31519580551834","другие цвета","Рославль, Смоленская область"
"Киевская обл.","Киев","Автомобиль","угнали","29.11.2008","Chery","AMULET","АА5462СО","2007"," "," "," "," ","другие цвета","Киев, ул.Лайоша Гавро 11Д 4й подьезд."
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","01.12.2008","ГАЗ","330202","У142ЕР98","2008","40524083110256","33020080545194"," ","Х9633020282342734","другие цвета","ул.Софийская"
"Москва и Московская обл.","Москва","Автомобиль","угнали","02.12.2008","Nissan","ТЕАНА","К608ВМ199","2007"," "," "," "," ","другие цвета","Москва, ул.Перерва, д.74"
"Псковская обл.","Псков","Автомобиль","угнали","03.12.2008","Chrysler","VOYAGER","Н 656 ЕЕ","2000"," "," "," "," ","другие цвета","найден"
"Москва и Московская обл.","Москва","Автомобиль","угнали","03.12.2008","Ford","FOCUS","c157мо199","2008"," "," "," "," ","другие цвета","М. Беляево"
"Москва и Московская обл.","Москва","Автомобиль","угнали","02.12.2008","Lexus","RX330"," ","0"," "," "," "," ","другие цвета"," "
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","02.12.2008","Toyota","celica","У239НМ98","2001"," "," "," ","085958","другие цвета","Фрунзенский р-он"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","03.12.2008","Audi","A4 QUATRO","н578ок98","0"," "," "," "," ","другие цвета","пр.Ударников"
"Москва и Московская обл.","Москва","Автомобиль","угнали","02.12.2008","Skoda","Шкода","к 703ма177","2002","AGU265909"," "," ","TMBBL41U922606736","другие цвета","Севастопольский проспект l3"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","27.08.2008","ВАЗ","КАЛИНА","о550ан/64","2007"," "," "," "," ","другие цвета","ул.Тельмана 30"
"Москва и Московская обл.","Москва","Автомобиль","угнали","04.12.2008","Mitsubishi","lancer","Е236РВ177","2006","4G18HS5437","JNBSNCS3A7U015157"," ","JMBSNCS3A7U015157","другие цвета","г. БАЛАШИХА мОСКОВСКАЯ ОБЛ."
"Москва и Московская обл.","Москва","Автомобиль","угнали","04.12.2008","НИВА","21214","м571ум 177","2007"," "," "," "," ","другие цвета","м. Сходненская, ул. Героев Панфиловцев"
"Москва и Московская обл.","Москва","Автомобиль","угнали","25.11.2008","Honda","Civic","А430УА150","2008","3041870","JHMFD16708S219233"," ","JHMFD16708S219233","другие цвета","Строгино, Неманский пр-д, д.1, к. 3"
"Москва и Московская обл.","Москва","Автомобиль","угнали","04.12.2008","Toyota","королла","У801СО177","2007"," "," "," "," ","другие цвета","г.Реутов. Носовихинское шоссе 15"
"Москва и Московская обл.","Москва","Автомобиль","угнали","03.12.2008","Chrysler","таун кантри","о363но 150","2002","н/у","н/у"," "," ","другие цвета","г. Москва ул.Кусковская д 8."
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","18.11.2008","Mazda","6","т313ух98","2008"," "," "," "," ","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","18.11.2008","Lexus","RX 300"," ","2001"," "," "," "," ","другие цвета","Рядом с Троицком"
"Новосибирская обл.","Новосибирск","Автомобиль","угнали","09.11.2008","Toyota","чайзер","т034ха 54","1999","1G6742062","GX1050002972"," ","отсутствует","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","04.12.2008","Volkswagen","Bora","А769ЕН199","0"," "," "," "," ","другие цвета","Москва, ул. Суздальская"
"Москва и Московская обл.","Москва","Автомобиль","угнали","05.12.2008","Mazda","6(new)","a 324 ту","2008"," "," "," "," ","другие цвета","Озерковская наб."
"Москва и Московская обл.","Москва","Автомобиль","угнали","01.12.2008","Toyota","Аурис","Е440МВ48","2007"," "," "," ","JTNKV56E102027007","другие цвета","Москва, ул. Беловежская,37"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","13.11.2008","Volkswagen","РАSSAT B5","Т756ЕВ 98","2000"," "," "," "," ","другие цвета","ВО ДВОРЕ УЛ.ШОСТАКОВИЧА Д.1/9"
"Свердловская обл.","Екатеринбург","Автомобиль","угнали","13.10.2008","ВАЗ","21063","В886СЕ96","1990"," "," "," "," ","другие цвета","птицефабрика"
"Санкт-Петербург и область","Сосновый Бор","Автомобиль","угнали","07.12.2008","Audi","А6","В223ТМ","2008"," "," "," "," ","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","30.11.2008","Audi","А6","м589 мк199","1997","004996","wauzzz4bzwn006321"," "," ","другие цвета","г.Москва Балаклавский проспект д 12 кор 1"
"Нижегородская (Горьковская)","Выкса","Автомобиль","угнали","07.12.2008","Mitsubishi","pajero"," ","1996"," "," "," "," ","другие цвета","автостоянка у завода"
"Москва и Московская обл.","Москва","Автомобиль","угнали","03.12.2008","Chevrolet","LANOS","Х556СУ177","2007"," "," "," "," ","другие цвета","СВАО Берингов пр-д, д.3."
"Москва и Московская обл.","Москва","Автомобиль","угнали","29.11.2008","Toyota","COROLLA","к239ак199","2007"," "," "," "," ","другие цвета","Москва, ул. Вагоноремонтная, д.5, кор.2"
"Москва и Московская обл.","Москва","Автомобиль","угнали","05.12.2008","Volkswagen","GOLF-3х дверный","транзит","1999","AKL466003","WVWZZZ1JZXW717787"," ","WVWZZZ1JZXW717787","другие цвета","АВТОМОБИЛЬ УГНАЛИ С УЛИЦЫ ИНЕССЫ АРМАНД Д.7 ЮЗАО С 05.12.2008Г. НА 06.12.2008Г."
"Москва и Московская обл.","Москва","Автомобиль","угнали","08.11.2008","Nissan","murano","у213вм 199","2003","N VQ35 694320A","N JN8AZO8W73W209289"," "," ","другие цвета","москва"
"Москва и Московская обл.","Москва","Автомобиль","угнали","03.12.2008","Honda","элимент","х352хт 177","2004"," "," "," "," ","другие цвета","речной вокзал"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","06.12.2008","Ford","Мондео","х747вв01","2006"," "," "," "," ","другие цвета","Кондратьевский проспект.магазин Пятерочка"
"Приморский край","Владивосток","Автомобиль","угнали","03.10.2008","Nissan","SAFARI","В 823 ВМ","1997","TD420133791"," "," "," ","другие цвета","Владивосток Шилкинская 21"
"Москва и Московская обл.","Подольск","Автомобиль","угнали","03.10.2008","Honda","CIVIK","H207PX","2008","R18A23107926","NLAFD76708W001536"," ","NLAFD76708W001536","другие цвета","ОТ ДОМА В 4 45 ПОС.ВАТУТИНКИ-1 ЛЕНИНСКОГО Р-НА МОСКОВСКОЙ ОБЛ."
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","08.12.2008","Volkswagen","лт 35","м 914 рр","1987"," "," "," "," ","другие цвета","ленсовета 36"
"Ярославская обл.","Ярославль","Автомобиль","угнали","09.12.2008","ВАЗ","21140","Е326ВЕ 76","2004"," "," "," "," ","другие цвета","Некрасова 52"
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.11.2008","ГАЗ","газ-3302","у432ам 07","2004","*4063оа*43182514*","33020050283702"," ","хтн33020052027426","другие цвета","г.Зеленоград пл.Юности"
"Санкт-Петербург и область","Гатчина","Автомобиль","угнали","04.12.2008","Mitsubishi","LANCHER","Н502ТН47","2006"," "," "," "," ","другие цвета","Гатчина, Ленинградская обл."
"Москва и Московская обл.","Москва","Автомобиль","угнали","09.12.2008","Audi","A4","Е191КУ 199","2003"," "," "," "," ","другие цвета","Можайский вал 6"
"Москва и Московская обл.","Москва","Автомобиль","угнали","09.12.2008","Mazda","6","Р431РО177","2006"," "," "," "," ","другие цвета","Москва, в районе дома 53-5 по ул. Фестивальной."
"Москва и Московская обл.","Домодедово","Автомобиль","угнали","10.12.2008","Daewoo","НЭКСИЯ","Д253РМ","2008"," "," "," "," ","другие цвета"," "
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","10.12.2008","Skoda","Октавиа"," ","2007"," "," "," "," ","другие цвета","Торговый комплекс"
"Ярославская обл.","Ярославль","Автомобиль","угнали","26.11.2008","GMC","2233","о453оо 76","2007"," "," "," "," ","другие цвета","свободы 50"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","27.11.2008","Nissan","Pathfinder","т608НВ","2008"," "," "," "," ","другие цвета","пр.Ветеранов д.140"
"Москва и Московская обл.","Москва","Автомобиль","найден","04.12.2008","Isuzu","VNEDOROGNIK","А594ТВ97","1","1","111111111"," ","1","другие цвета","Кривоколенный переулок дом 10 стр3"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.12.2008","Honda","Civic","B246CB177","2007"," "," "," "," ","другие цвета","Taganka Nijegorodskaya"
"Москва и Московская обл.","Москва","Автомобиль","угнали","09.09.2008","Renault","logan 1.4","х468рх150","2008","k7ja710ue45556","150267"," "," ","другие цвета","реутов"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.12.2008","Honda","Civic","К946ЕН 199","2008"," "," "," "," ","другие цвета","Волгоградка"
"Москва и Московская обл.","Москва","Автомобиль","угнали","12.12.2008","Hyundai","Tucson","х122во150","2006","6670766","KMHJN81BP6U498043"," ","KMHJN81BP6U498043","другие цвета","М.О. г.Мытищи ул.Летная 28-1"
"Свердловская обл.","Нижний Тагил","Автомобиль","угнали","06.12.2008","ВАЗ","21102","Р006ТМ66","2003"," "," "," "," ","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","21.11.2008","ВАЗ","21124","У894КЕ","2006"," "," "," "," ","другие цвета","г.Москва ул.Декабристов д.12 ТК""Волотой Вавилон"""
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","19.11.2008","Ford","транзит"," ","1999"," "," "," "," ","другие цвета","п.металлострой"
"Москва и Московская обл.","Москва","Автомобиль","угнали","23.10.2008","ВАЗ","21101","в816вм150","2005","1332188","0869273"," ","хта21101050869273","другие цвета","от памятника Ленина в старых Химках"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","12.12.2008","Mitsubishi","Outlander","Е042НЕ 98","0"," "," "," "," ","другие цвета","СПб,улица Вербная"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","06.12.2008","BMW","523"," ","1997"," "," "," "," ","другие цвета","Дер.Ново-Девяткино."
"Новосибирская обл.","Новосибирск","Автомобиль","угнали","01.01.2008","Audi","A6","E258EР 54","2008"," "," "," "," ","другие цвета","Речой вокзал"
"Самарская обл.","Самара","Автомобиль","угнали","10.12.2008","ВАЗ","21124","К688НМ 163","2005"," "," "," ","ХТА211240503318097","другие цвета","ТЦ Касторама"
"Самарская обл.","Самара","Автомобиль","угнали","10.12.2008","ВАЗ","21126 Priora","А438ВС163","2008"," "," "," "," ","другие цвета","Промышленный район"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","11.11.2008","Mercedes","809","н766ко98","1990","36490710110138"," "," ","wdb67301315545424","другие цвета","санкт-петербург пр Художников 35"
"Москва и Московская обл.","Москва","Автомобиль","угнали","13.01.2008","ВАЗ","21124","B969HK177","2006"," "," "," "," ","другие цвета","ТЦ ""Час пик""(МКАД 87км)"
"Красноярский край","Красноярск","Автомобиль","угнали","12.12.2008","Honda","CIVIC","У344ХВ 24","1999"," "," "," "," ","другие цвета","ТЦ Планета"
"Москва и Московская обл.","Москва","Автомобиль","угнали","12.12.2008","ВАЗ","21150","Х613УТ177","2005","4177141","4017221"," ","ХТА21150054017221","другие цвета","3-й Волоколамский проезд д14"
"Москва и Московская обл.","Москва","Автомобиль","угнали","10.12.2008","Mitsubishi","Lancer","А250КС177","2006","4G18 HG1242","JMBSRCS3A6U013407"," ","JMBSRCS3A6U013407","другие цвета","Остаповский пр-д, 5"
"Москва и Московская обл.","Дмитров","Автомобиль","угнали","03.12.2008","Mitsubishi","Lancer IX","В411Ву 150","2006","4G18 HP8760","JMBSNCS3A7UO11OO7"," ","GMBSNCS3A7U011007","другие цвета","Московская обл, Дмитровский р-н,пос.Орева"
"Москва и Московская обл.","Москва","Автомобиль","угнали","06.12.2008","Volkswagen","GOLF","транзит","1999","xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"," ","xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx","другие цвета","г.Москва ул.Инессы Арманд(ЮЗАО). За возврат автомобиля,или за любую правдивую информацию вознаграждение гарантирую 2000$!!!"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","02.12.2008","ВАЗ","21120","У766НВ 78","2002"," "," "," "," ","другие цвета","ул. Косыгина д.21"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","15.12.2008","Dodge","Caravan","С086УО98","2002","-----------","------------"," ","------------","другие цвета","Наставников, 34"
"Приморский край","Владивосток","Автомобиль","угнали","15.01.2008","Honda","FIT ARIA","BC 256302/","2003","4009827","GD9-1000879"," "," ","другие цвета","Владивосток, Шамора"
"Москва и Московская обл.","Москва","Автомобиль","угнали","06.12.2008","Volkswagen","GOLF","транзит","1999","xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx","xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"," ","xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx","другие цвета"," "
"Москва и Московская обл.","Домодедово","Автомобиль","угнали","15.12.2008","Toyota","COROLLA","H427CC150","2008"," "," "," "," ","другие цвета","ДОМОДЕДОВСКИЙ Р-ОН"
"Воронежская обл.","Воронеж","Автомобиль","угнали","01.01.2008","Mercedes","200","в611ер36","0","102922 10 063888"," "," ","WDB124020 1A 766226","другие цвета"," "
"Хабаровский край","Хабаровск","Автомобиль","угнали","15.12.2008","Toyota","GAIA(гайя)","М857ТН","0"," "," "," "," ","другие цвета","Аэропорт"
"Москва и Московская обл.","Москва","Автомобиль","угнали","15.12.2008","Volkswagen","Пассат","у480тк 150","2002"," "," "," "," ","другие цвета","Улица Космонавтов"
"Москва и Московская обл.","Москва","Автомобиль","угнали","28.01.2008","BMW","Х5","в111хн177","2000","50202203","wdafb3353ylh06063"," ","wdafb3353ylh06063","другие цвета","п.красково люберецкий р-н"
"Москва и Московская обл.","Москва","Автомобиль","угнали","16.12.2008","Audi"," ","Е026РМ 77","0"," "," "," "," ","другие цвета"," "
"Самарская обл.","Самара","Автомобиль","угнали","09.12.2008","ВАЗ","21012","к843сн","2004"," "," "," "," ","другие цвета","Касторама"
"Москва и Московская обл.","Москва","Автомобиль","угнали","13.12.2008","Volkswagen","Пассат","к252тк150","1991"," "," "," "," ","другие цвета","Стромынка"
"Калужская обл.","Обнинск","Автомобиль","угнали","13.12.2008","Daewoo","magnus","Е189ТК 40","2000"," "," "," "," ","другие цвета","Гск "" светофор"""
"Москва и Московская обл.","Москва","Автомобиль","угнали","15.12.2008","Mitsubishi","LANCER(универсал)","у848рр177","2007","HX7883","JMBLNCS3W7U003850"," ","JMBLNCS3W7U003850","другие цвета","Москва, ул Белозерская"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","14.12.2008","ВАЗ","2105","у477ае 98","1983"," "," "," "," ","другие цвета","Дачный пр.33 к.1 от подъезда."
"Москва и Московская обл.","Москва","Автомобиль","угнали","10.12.2008","Mitsubishi","- джип","К967АС177","0","-","-"," ","-","другие цвета","Москва, ул. Газопровод, рядом с детским центром ""Виктория"""
"Вологодская обл.","Вологда","Автомобиль","угнали","17.12.2008","Kia","Spektra","В289ЕР","2008","385624863"," "," "," ","другие цвета","УЛ.ЛЕНИНГРАДСКАЯ,ОКОЛО ЗОЛОТОГО КЛЮЧИКА"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","16.12.2008","Dodge","караван","м002ев98","2003"," "," "," "," ","другие цвета","ланское шоссе"
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.11.2008","Toyota","RAF4"," ","2008"," "," "," "," ","другие цвета","г.Москва"
"Латвия","Рига","Автомобиль","угнали","10.12.2008","Honda","CRV","GZ191","2007","2,0"," "," "," ","другие цвета","Рига, ул.Земес7"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","17.12.2008","Mercedes","Спринтер","У 172 ЕК","0"," "," "," "," ","другие цвета","ул. Разъезжая/Марата"
